# time n - 500 (ps)    time n (ps)     molecule
500.0 1000.0   CHOL 286 5 10
3000.0 3500.0   CHOL 286 30 35
4500.0 5000.0   CHOL 283 45 50
5000.0 5500.0   CHOL 286 50 55
5500.0 6000.0   CHOL 268 55 60
8000.0 8500.0   CHOL 286 80 85
9500.0 10000.0   CHOL 286 95 100
11000.0 11500.0   CHOL 286 110 115
12000.0 12500.0   CHOL 286 120 125
13000.0 13500.0   CHOL 286 130 135
15000.0 15500.0   CHOL 286 150 155
16000.0 16500.0   CHOL 286 160 165
18000.0 18500.0   CHOL 286 180 185
19500.0 20000.0   CHOL 286 195 200
23500.0 24000.0   CHOL 286 235 240
24500.0 25000.0   CHOL 286 245 250
26000.0 26500.0   CHOL 286 260 265
27500.0 28000.0   CHOL 286 275 280
28500.0 29000.0   CHOL 286 285 290
30000.0 30500.0   CHOL 286 300 305
36000.0 36500.0   CHOL 286 360 365
37500.0 38000.0   CHOL 286 375 380
39000.0 39500.0   CHOL 286 390 395
40500.0 41000.0   CHOL 286 405 410
41500.0 42000.0   CHOL 286 415 420
43500.0 44000.0   CHOL 282 435 440
46500.0 47000.0   CHOL 282 465 470
47500.0 48000.0   CHOL 286 475 480
49000.0 49500.0   CHOL 286 490 495
52000.0 52500.0   CHOL 286 520 525
53500.0 54000.0   CHOL 286 535 540
54500.0 55000.0   CHOL 286 545 550
55500.0 56000.0   CHOL 286 555 560
57000.0 57500.0   CHOL 286 570 575
59500.0 60000.0   CHOL 286 595 600
60500.0 61000.0   CHOL 286 605 610
63000.0 63500.0   CHOL 286 630 635
64500.0 65000.0   CHOL 286 645 650
66000.0 66500.0   CHOL 286 660 665
69000.0 69500.0   CHOL 286 690 695
72000.0 72500.0   CHOL 266 720 725
73000.0 73500.0   CHOL 286 730 735
74000.0 74500.0   CHOL 266 740 745
75000.0 75500.0   CHOL 266 750 755
76500.0 77000.0   CHOL 286 765 770
77500.0 78000.0   CHOL 266 775 780
77500.0 78000.0   CHOL 286 775 780
78500.0 79000.0   CHOL 266 785 790
79000.0 79500.0   CHOL 286 790 795
80000.0 80500.0   CHOL 266 800 805
80500.0 81000.0   CHOL 286 805 810
81500.0 82000.0   CHOL 266 815 820
82500.0 83000.0   CHOL 280 825 830
83500.0 84000.0   CHOL 280 835 840
84000.0 84500.0   CHOL 286 840 845
85000.0 85500.0   CHOL 280 850 855
86000.0 86500.0   CHOL 280 860 865
86500.0 87000.0   CHOL 286 865 870
87500.0 88000.0   CHOL 286 875 880
88500.0 89000.0   CHOL 286 885 890
90000.0 90500.0   CHOL 286 900 905
92000.0 92500.0   CHOL 286 920 925
94500.0 95000.0   CHOL 286 945 950
96000.0 96500.0   CHOL 286 960 965
99500.0 100000.0   CHOL 286 995 1000
101000.0 101500.0   CHOL 286 1010 1015
101500.0 102000.0   CHOL 266 1015 1020
102500.0 103000.0   CHOL 286 1025 1030
104000.0 104500.0   CHOL 286 1040 1045
108500.0 109000.0   CHOL 286 1085 1090
112000.0 112500.0   CHOL 286 1120 1125
113000.0 113500.0   CHOL 286 1130 1135
115500.0 116000.0   CHOL 286 1155 1160
119000.0 119500.0   CHOL 286 1190 1195
120000.0 120500.0   CHOL 286 1200 1205
123500.0 124000.0   CHOL 286 1235 1240
124500.0 125000.0   CHOL 286 1245 1250
125500.0 126000.0   CHOL 286 1255 1260
128000.0 128500.0   CHOL 284 1280 1285
129000.0 129500.0   CHOL 286 1290 1295
129500.0 130000.0   CHOL 284 1295 1300
130500.0 131000.0   CHOL 286 1305 1310
133500.0 134000.0   CHOL 286 1335 1340
134500.0 135000.0   CHOL 286 1345 1350
135500.0 136000.0   CHOL 286 1355 1360
136500.0 137000.0   CHOL 286 1365 1370
139500.0 140000.0   CHOL 286 1395 1400
145000.0 145500.0   CHOL 286 1450 1455
145500.0 146000.0   CHOL 284 1455 1460
146500.0 147000.0   CHOL 286 1465 1470
147000.0 147500.0   CHOL 284 1470 1475
148000.0 148500.0   CHOL 286 1480 1485
148500.0 149000.0   CHOL 284 1485 1490
149500.0 150000.0   CHOL 286 1495 1500
151000.0 151500.0   CHOL 286 1510 1515
152500.0 153000.0   CHOL 286 1525 1530
153500.0 154000.0   CHOL 286 1535 1540
155000.0 155500.0   CHOL 278 1550 1555
155500.0 156000.0   CHOL 286 1555 1560
156000.0 156500.0   CHOL 278 1560 1565
157000.0 157500.0   CHOL 286 1570 1575
159000.0 159500.0   CHOL 286 1590 1595
160000.0 160500.0   CHOL 286 1600 1605
163500.0 164000.0   CHOL 286 1635 1640
165000.0 165500.0   CHOL 286 1650 1655
168000.0 168500.0   CHOL 286 1680 1685
