# time n - 500 (ps)    time n (ps)     molecule
1000.0 1500.0   CHOL 220 10 15
3500.0 4000.0   CHOL 220 35 40
8000.0 8500.0   CHOL 220 80 85
10000.0 10500.0   CHOL 220 100 105
11500.0 12000.0   CHOL 220 115 120
14500.0 15000.0   CHOL 220 145 150
15500.0 16000.0   CHOL 220 155 160
16500.0 17000.0   CHOL 220 165 170
18500.0 19000.0   CHOL 220 185 190
20500.0 21000.0   CHOL 220 205 210
21500.0 22000.0   CHOL 220 215 220
31500.0 32000.0   CHOL 220 315 320
37000.0 37500.0   CHOL 220 370 375
39500.0 40000.0   CHOL 220 395 400
41000.0 41500.0   CHOL 220 410 415
495000.0 495500.0   CHOL 239 4950 4955
496500.0 497000.0   CHOL 239 4965 4970
498000.0 498500.0   CHOL 239 4980 4985
499500.0 500000.0   CHOL 239 4995 5000
501000.0 501500.0   CHOL 239 5010 5015
510500.0 511000.0   CHOL 239 5105 5110
