# time n - 500 (ps)    time n (ps)     molecule
5500.0 6000.0   CHOL 261 55 60
8000.0 8500.0   CHOL 261 80 85
9500.0 10000.0   CHOL 242 95 100
11500.0 12000.0   CHOL 261 115 120
12000.0 12500.0   CHOL 242 120 125
13500.0 14000.0   CHOL 261 135 140
16000.0 16500.0   CHOL 242 160 165
16000.0 16500.0   CHOL 261 160 165
17500.0 18000.0   CHOL 242 175 180
28500.0 29000.0   CHOL 242 285 290
35500.0 36000.0   CHOL 242 355 360
37000.0 37500.0   CHOL 242 370 375
38500.0 39000.0   CHOL 242 385 390
39500.0 40000.0   CHOL 242 395 400
45000.0 45500.0   CHOL 242 450 455
47500.0 48000.0   CHOL 242 475 480
48500.0 49000.0   CHOL 242 485 490
50500.0 51000.0   CHOL 242 505 510
52500.0 53000.0   CHOL 242 525 530
54500.0 55000.0   CHOL 242 545 550
57000.0 57500.0   CHOL 242 570 575
61000.0 61500.0   CHOL 242 610 615
64500.0 65000.0   CHOL 242 645 650
66000.0 66500.0   CHOL 242 660 665
68000.0 68500.0   CHOL 242 680 685
73500.0 74000.0   CHOL 242 735 740
74500.0 75000.0   CHOL 242 745 750
75500.0 76000.0   CHOL 242 755 760
86500.0 87000.0   CHOL 242 865 870
88500.0 89000.0   CHOL 242 885 890
90000.0 90500.0   CHOL 242 900 905
92500.0 93000.0   CHOL 242 925 930
93500.0 94000.0   CHOL 242 935 940
99500.0 100000.0   CHOL 242 995 1000
100500.0 101000.0   CHOL 242 1005 1010
101500.0 102000.0   CHOL 242 1015 1020
104000.0 104500.0   CHOL 242 1040 1045
105000.0 105500.0   CHOL 242 1050 1055
108000.0 108500.0   CHOL 242 1080 1085
109000.0 109500.0   CHOL 242 1090 1095
111000.0 111500.0   CHOL 242 1110 1115
115500.0 116000.0   CHOL 242 1155 1160
117000.0 117500.0   CHOL 242 1170 1175
119000.0 119500.0   CHOL 242 1190 1195
799000.0 799500.0   CHOL 206 7990 7995
