# time n - 500 (ps)    time n (ps)     molecule
6500.0 7000.0   CHOL 220 65 70
7500.0 8000.0   CHOL 220 75 80
11000.0 11500.0   CHOL 220 110 115
13000.0 13500.0   CHOL 220 130 135
14000.0 14500.0   CHOL 220 140 145
15500.0 16000.0   CHOL 220 155 160
17500.0 18000.0   CHOL 220 175 180
19500.0 20000.0   CHOL 220 195 200
749000.0 749500.0   CHOL 202 7490 7495
750500.0 751000.0   CHOL 202 7505 7510
752500.0 753000.0   CHOL 202 7525 7530
1494500.0 1495000.0   CHOL 219 14945 14950
1497000.0 1497500.0   CHOL 219 14970 14975
1498500.0 1499000.0   CHOL 219 14985 14990
