# time n - 500 (ps)    time n (ps)     molecule
1500.0 2000.0   CHOL 286 15 20
3500.0 4000.0   CHOL 286 35 40
7500.0 8000.0   CHOL 286 75 80
9000.0 9500.0   CHOL 286 90 95
10500.0 11000.0   CHOL 286 105 110
12000.0 12500.0   CHOL 286 120 125
13500.0 14000.0   CHOL 286 135 140
14500.0 15000.0   CHOL 286 145 150
16500.0 17000.0   CHOL 286 165 170
19000.0 19500.0   CHOL 286 190 195
22500.0 23000.0   CHOL 286 225 230
23500.0 24000.0   CHOL 286 235 240
26000.0 26500.0   CHOL 286 260 265
29000.0 29500.0   CHOL 286 290 295
31000.0 31500.0   CHOL 286 310 315
33000.0 33500.0   CHOL 286 330 335
34500.0 35000.0   CHOL 286 345 350
35500.0 36000.0   CHOL 286 355 360
36500.0 37000.0   CHOL 286 365 370
39000.0 39500.0   CHOL 286 390 395
40000.0 40500.0   CHOL 286 400 405
42500.0 43000.0   CHOL 286 425 430
45500.0 46000.0   CHOL 286 455 460
47500.0 48000.0   CHOL 286 475 480
51000.0 51500.0   CHOL 286 510 515
53500.0 54000.0   CHOL 286 535 540
54500.0 55000.0   CHOL 286 545 550
55500.0 56000.0   CHOL 286 555 560
56500.0 57000.0   CHOL 286 565 570
57500.0 58000.0   CHOL 286 575 580
58500.0 59000.0   CHOL 286 585 590
60500.0 61000.0   CHOL 286 605 610
62000.0 62500.0   CHOL 286 620 625
65500.0 66000.0   CHOL 286 655 660
67000.0 67500.0   CHOL 270 670 675
69000.0 69500.0   CHOL 286 690 695
70500.0 71000.0   CHOL 286 705 710
71000.0 71500.0   CHOL 271 710 715
72000.0 72500.0   CHOL 286 720 725
72500.0 73000.0   CHOL 271 725 730
73500.0 74000.0   CHOL 271 735 740
74000.0 74500.0   CHOL 286 740 745
76000.0 76500.0   CHOL 286 760 765
77000.0 77500.0   CHOL 286 770 775
79000.0 79500.0   CHOL 286 790 795
82000.0 82500.0   CHOL 286 820 825
84500.0 85000.0   CHOL 286 845 850
85500.0 86000.0   CHOL 286 855 860
87500.0 88000.0   CHOL 286 875 880
88500.0 89000.0   CHOL 286 885 890
90000.0 90500.0   CHOL 286 900 905
91500.0 92000.0   CHOL 286 915 920
94000.0 94500.0   CHOL 286 940 945
95500.0 96000.0   CHOL 286 955 960
99000.0 99500.0   CHOL 286 990 995
101000.0 101500.0   CHOL 286 1010 1015
102000.0 102500.0   CHOL 286 1020 1025
103500.0 104000.0   CHOL 286 1035 1040
105500.0 106000.0   CHOL 286 1055 1060
106500.0 107000.0   CHOL 286 1065 1070
108000.0 108500.0   CHOL 286 1080 1085
109500.0 110000.0   CHOL 286 1095 1100
111000.0 111500.0   CHOL 286 1110 1115
112000.0 112500.0   CHOL 286 1120 1125
113000.0 113500.0   CHOL 286 1130 1135
115500.0 116000.0   CHOL 286 1155 1160
118500.0 119000.0   CHOL 286 1185 1190
120500.0 121000.0   CHOL 286 1205 1210
121500.0 122000.0   CHOL 286 1215 1220
123500.0 124000.0   CHOL 277 1235 1240
124000.0 124500.0   CHOL 286 1240 1245
125500.0 126000.0   CHOL 286 1255 1260
126000.0 126500.0   CHOL 277 1260 1265
127500.0 128000.0   CHOL 286 1275 1280
129000.0 129500.0   CHOL 286 1290 1295
130500.0 131000.0   CHOL 286 1305 1310
134500.0 135000.0   CHOL 286 1345 1350
136500.0 137000.0   CHOL 286 1365 1370
138000.0 138500.0   CHOL 286 1380 1385
140000.0 140500.0   CHOL 286 1400 1405
