# time n - 500 (ps)    time n (ps)     molecule
27500.0 28000.0   CHOL 286 275 280
99000.0 99500.0   CHOL 269 990 995
102500.0 103000.0   CHOL 269 1025 1030
163500.0 164000.0   CHOL 264 1635 1640
295500.0 296000.0   CHOL 279 2955 2960
298500.0 299000.0   CHOL 279 2985 2990
304500.0 305000.0   CHOL 282 3045 3050
311000.0 311500.0   CHOL 282 3110 3115
316500.0 317000.0   CHOL 282 3165 3170
318000.0 318500.0   CHOL 282 3180 3185
470500.0 471000.0   CHOL 284 4705 4710
472000.0 472500.0   CHOL 284 4720 4725
473000.0 473500.0   CHOL 284 4730 4735
478000.0 478500.0   CHOL 284 4780 4785
563000.0 563500.0   CHOL 266 5630 5635
667500.0 668000.0   CHOL 261 6675 6680
696500.0 697000.0   CHOL 267 6965 6970
704500.0 705000.0   CHOL 262 7045 7050
707500.0 708000.0   CHOL 262 7075 7080
880500.0 881000.0   CHOL 267 8805 8810
963500.0 964000.0   CHOL 282 9635 9640
